"","Regi√£o","C√≥gigo_UF","UF","0 dias nos √∫ltimos sete dias n","0 dias nos √∫ltimos sete dias %","1 dia nos ultimos sete dias n","1 dia nos ultimos sete dias %","2 dias nos √∫ltimos sete dias n","2 dias nos √∫ltimos sete dias %","3 dias nos √∫ltimos sete dias n","3 dias nos √∫ltimos sete dias %","4 dias nos √∫ltimos sete dias n","4 dias nos √∫ltimos sete dias %","5 dias nos √∫ltimos sete dias n","5 dias nos √∫ltimos sete dias %","6 dias nos √∫ltimos sete dias n","6 dias nos √∫ltimos sete dias %","Todos os √∫ltimos sete dias n","Todos os √∫ltimos sete dias %","Total de indiv√≠duos","ano","grupo"
"1298","NORDESTE",26,"PE",69,"19%",35,"10%",41,"11%",67,"18%",22,"6%",13,"4%",14,"4%",107,"29%",368,"2011","salada crua"
"1299","NORDESTE",22,"PI",158,"28%",104,"18%",98,"17%",73,"13%",18,"3%",22,"4%",31,"5%",67,"12%",571,"2011","salada crua"
"1300","NORDESTE",24,"RN",70,"37%",17,"9%",31,"16%",24,"13%",6,"3%",9,"5%",3,"2%",31,"16%",191,"2011","salada crua"
"1301","NORDESTE",28,"SE",3,"19%",1,"6%",4,"25%",0,NA,1,"6%",1,"6%",1,"6%",5,"31%",16,"2011","salada crua"
"1302","TOTAL REGI√O NORDESTE",NA,"",1419,"23%",736,"12%",881,"15%",855,"14%",406,"7%",223,"4%",243,"4%",1302,"21%",6065,"2011","salada crua"
"1303","NORTE",12,"AC",6,"46%",1,"8%",1,"8%",3,"23%",0,NA,0,NA,0,NA,2,"15%",13,"2011","salada crua"
"1304","NORTE",13,"AM",223,"33%",130,"19%",157,"23%",97,"14%",18,"3%",16,"2%",11,"2%",27,"4%",679,"2011","salada crua"
"1305","NORTE",16,"AP",2,"67%",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,"33%",3,"2011","salada crua"
"1306","NORTE",15,"PA",1296,"37%",512,"15%",523,"15%",415,"12%",177,"5%",141,"4%",88,"3%",341,"10%",3493,"2011","salada crua"
"1307","NORTE",11,"RO",0,NA,0,NA,2,"50%",0,NA,0,NA,0,NA,0,NA,2,"50%",4,"2011","salada crua"
"1308","NORTE",14,"RR",2,"100%",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,"2011","salada crua"
"1309","NORTE",17,"TO",60,"22%",30,"11%",44,"16%",45,"16%",16,"6%",15,"5%",8,"3%",58,"21%",276,"2011","salada crua"
"1310","TOTAL REGI√O NORTE",NA,"",1589,"36%",673,"15%",727,"16%",560,"13%",211,"5%",172,"4%",107,"2%",431,"10%",4470,"2011","salada crua"
"1311","SUDESTE",32,"ES",25,"20%",16,"13%",17,"13%",15,"12%",9,"7%",10,"8%",4,"3%",31,"24%",127,"2011","salada crua"
"1312","SUDESTE",31,"MG",533,"11%",506,"11%",674,"14%",695,"15%",430,"9%",338,"7%",316,"7%",1274,"27%",4766,"2011","salada crua"
"1313","SUDESTE",33,"RJ",246,"24%",146,"14%",178,"17%",115,"11%",72,"7%",45,"4%",31,"3%",185,"18%",1018,"2011","salada crua"
"1314","SUDESTE",35,"SP",854,"11%",803,"10%",1182,"15%",1280,"16%",691,"9%",429,"5%",363,"5%",2431,"30%",8033,"2011","salada crua"
"1315","TOTAL REGI√O SUDESTE",NA,"",1658,"12%",1471,"11%",2051,"15%",2105,"15%",1202,"9%",822,"6%",714,"5%",3921,"28%",13944,"2011","salada crua"
"1316","SUL",41,"PR",226,"10%",192,"8%",315,"13%",331,"14%",164,"7%",124,"5%",79,"3%",927,"39%",2358,"2011","salada crua"
"1317","SUL",43,"RS",92,"12%",70,"9%",81,"10%",87,"11%",35,"4%",42,"5%",20,"3%",358,"46%",785,"2011","salada crua"
"1318","SUL",42,"SC",89,"10%",77,"9%",95,"11%",104,"12%",91,"10%",93,"11%",58,"7%",278,"31%",885,"2011","salada crua"
"1319","TOTAL REGI√O SUL",NA,"",407,"10%",339,"8%",491,"12%",522,"13%",290,"7%",259,"6%",157,"4%",1563,"39%",4028,"2011","salada crua"
"1320","TOTAL BRASIL",NA,"",5843,"16%",3919,"11%",5081,"14%",5065,"14%",2656,"7%",1923,"5%",1593,"4%",9765,"27%",35845,"2011","salada crua"
"1321","CENTRO-OESTE",53,"DF",853,"49%",415,"24%",222,"13%",92,"5%",34,"2%",33,"2%",26,"1%",82,"5%",1757,"2012","batata frita,batata de pacote,salgado frito"
"1322","CENTRO-OESTE",52,"GO",740,"46%",340,"21%",176,"11%",92,"6%",76,"5%",71,"4%",27,"2%",75,"5%",1597,"2012","batata frita,batata de pacote,salgado frito"
"1323","CENTRO-OESTE",50,"MS",1062,"41%",590,"23%",293,"11%",175,"7%",133,"5%",108,"4%",61,"2%",139,"5%",2561,"2012","batata frita,batata de pacote,salgado frito"
"1324","CENTRO-OESTE",51,"MT",1513,"46%",702,"22%",390,"12%",241,"7%",96,"3%",81,"2%",47,"1%",184,"6%",3254,"2012","batata frita,batata de pacote,salgado frito"
"1325","TOTAL REGI√O CENTRO-OESTE",NA,"",4168,"45%",2047,"22%",1081,"12%",600,"7%",339,"4%",293,"3%",161,"2%",480,"5%",9169,"2012","batata frita,batata de pacote,salgado frito"
"1326","NORDESTE",27,"AL",1125,"56%",445,"22%",189,"9%",100,"5%",50,"3%",26,"1%",13,"1%",49,"2%",1997,"2012","batata frita,batata de pacote,salgado frito"
"1327","NORDESTE",29,"BA",2178,"61%",688,"19%",315,"9%",137,"4%",68,"2%",39,"1%",32,"1%",90,"3%",3547,"2012","batata frita,batata de pacote,salgado frito"
"1328","NORDESTE",23,"CE",1866,"59%",582,"18%",284,"9%",169,"5%",72,"2%",48,"2%",27,"1%",106,"3%",3154,"2012","batata frita,batata de pacote,salgado frito"
"1329","NORDESTE",21,"MA",770,"69%",136,"12%",114,"10%",44,"4%",13,"1%",9,"1%",6,"1%",32,"3%",1124,"2012","batata frita,batata de pacote,salgado frito"
"1330","NORDESTE",25,"PB",349,"38%",367,"40%",89,"10%",40,"4%",18,"2%",9,"1%",4,"0%",34,"4%",910,"2012","batata frita,batata de pacote,salgado frito"
"1331","NORDESTE",26,"PE",440,"60%",146,"20%",72,"10%",35,"5%",10,"1%",8,"1%",7,"1%",13,"2%",731,"2012","batata frita,batata de pacote,salgado frito"
"1332","NORDESTE",22,"PI",476,"66%",106,"15%",46,"6%",36,"5%",12,"2%",14,"2%",8,"1%",25,"3%",723,"2012","batata frita,batata de pacote,salgado frito"
"1333","NORDESTE",24,"RN",138,"61%",38,"17%",18,"8%",12,"5%",5,"2%",3,"1%",3,"1%",9,"4%",226,"2012","batata frita,batata de pacote,salgado frito"
"1334","NORDESTE",28,"SE",1,"100%",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,"2012","batata frita,batata de pacote,salgado frito"
"1335","TOTAL REGI√O NORDESTE",NA,"",7343,"59%",2508,"20%",1127,"9%",573,"5%",248,"2%",156,"1%",100,"1%",358,"3%",12413,"2012","batata frita,batata de pacote,salgado frito"
"1336","NORTE",12,"AC",0,NA,0,NA,1,"33%",2,"67%",0,NA,0,NA,0,NA,0,NA,3,"2012","batata frita,batata de pacote,salgado frito"
"1337","NORTE",13,"AM",138,"43%",73,"23%",36,"11%",31,"10%",11,"3%",4,"1%",6,"2%",22,"7%",321,"2012","batata frita,batata de pacote,salgado frito"
"1338","NORTE",16,"AP",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2012","batata frita,batata de pacote,salgado frito"
"1339","NORTE",15,"PA",2253,"54%",773,"18%",477,"11%",285,"7%",126,"3%",65,"2%",45,"1%",177,"4%",4201,"2012","batata frita,batata de pacote,salgado frito"
"1340","NORTE",11,"RO",2,"100%",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,"2012","batata frita,batata de pacote,salgado frito"
"1341","NORTE",14,"RR",9,"53%",2,"12%",5,"29%",0,NA,0,NA,0,NA,0,NA,1,"6%",17,"2012","batata frita,batata de pacote,salgado frito"
"1342","NORTE",17,"TO",342,"52%",118,"18%",69,"10%",50,"8%",22,"3%",13,"2%",13,"2%",35,"5%",662,"2012","batata frita,batata de pacote,salgado frito"
"1343","TOTAL REGI√O NORTE",NA,"",2744,"53%",966,"19%",588,"11%",368,"7%",159,"3%",82,"2%",64,"1%",235,"5%",5206,"2012","batata frita,batata de pacote,salgado frito"
"1344","SUDESTE",32,"ES",148,"41%",88,"24%",55,"15%",29,"8%",9,"2%",7,"2%",5,"1%",23,"6%",364,"2012","batata frita,batata de pacote,salgado frito"
"1345","SUDESTE",31,"MG",2258,"35%",1541,"24%",1013,"16%",616,"10%",327,"5%",215,"3%",123,"2%",326,"5%",6419,"2012","batata frita,batata de pacote,salgado frito"
"1346","SUDESTE",33,"RJ",606,"34%",404,"23%",290,"16%",162,"9%",78,"4%",52,"3%",34,"2%",134,"8%",1760,"2012","batata frita,batata de pacote,salgado frito"
"1347","SUDESTE",35,"SP",4189,"41%",2542,"25%",1536,"15%",714,"7%",323,"3%",217,"2%",125,"1%",624,"6%",10270,"2012","batata frita,batata de pacote,salgado frito"
"1348","TOTAL REGI√O SUDESTE",NA,"",7201,"38%",4575,"24%",2894,"15%",1521,"8%",737,"4%",491,"3%",287,"2%",1107,"6%",18813,"2012","batata frita,batata de pacote,salgado frito"
"1349","SUL",41,"PR",940,"42%",537,"24%",344,"15%",207,"9%",59,"3%",39,"2%",29,"1%",90,"4%",2245,"2012","batata frita,batata de pacote,salgado frito"
"1350","SUL",43,"RS",295,"40%",200,"27%",111,"15%",50,"7%",18,"2%",13,"2%",9,"1%",37,"5%",733,"2012","batata frita,batata de pacote,salgado frito"
"1351","SUL",42,"SC",240,"25%",298,"31%",244,"26%",83,"9%",34,"4%",9,"1%",14,"1%",32,"3%",954,"2012","batata frita,batata de pacote,salgado frito"
"1352","TOTAL REGI√O SUL",NA,"",1475,"38%",1035,"26%",699,"18%",340,"9%",111,"3%",61,"2%",52,"1%",159,"4%",3932,"2012","batata frita,batata de pacote,salgado frito"
"1353","TOTAL BRASIL",NA,"",22931,"46%",11131,"22%",6389,"13%",3402,"7%",1594,"3%",1083,"2%",664,"1%",2339,"5%",49533,"2012","batata frita,batata de pacote,salgado frito"
"1354","CENTRO-OESTE",53,"DF",650,"37%",342,"19%",233,"13%",140,"8%",68,"4%",38,"2%",56,"3%",230,"13%",1757,"2012","biscoito doce, doces, balas, chocolates"
"1355","CENTRO-OESTE",52,"GO",507,"32%",298,"19%",208,"13%",179,"11%",118,"7%",69,"4%",47,"3%",171,"11%",1597,"2012","biscoito doce, doces, balas, chocolates"
"1356","CENTRO-OESTE",50,"MS",872,"34%",487,"19%",359,"14%",254,"10%",138,"5%",100,"4%",81,"3%",270,"11%",2561,"2012","biscoito doce, doces, balas, chocolates"
"1357","CENTRO-OESTE",51,"MT",1387,"43%",549,"17%",427,"13%",271,"8%",127,"4%",74,"2%",68,"2%",351,"11%",3254,"2012","biscoito doce, doces, balas, chocolates"
"1358","TOTAL REGI√O CENTRO-OESTE",NA,"",3416,"37%",1676,"18%",1227,"13%",844,"9%",451,"5%",281,"3%",252,"3%",1022,"11%",9169,"2012","biscoito doce, doces, balas, chocolates"
"1359","NORDESTE",27,"AL",711,"36%",397,"20%",298,"15%",174,"9%",91,"5%",58,"3%",46,"2%",222,"11%",1997,"2012","biscoito doce, doces, balas, chocolates"
"1360","NORDESTE",29,"BA",1505,"42%",652,"18%",435,"12%",288,"8%",126,"4%",94,"3%",49,"1%",398,"11%",3547,"2012","biscoito doce, doces, balas, chocolates"
"1361","NORDESTE",23,"CE",1218,"39%",573,"18%",458,"15%",307,"10%",106,"3%",86,"3%",77,"2%",329,"10%",3154,"2012","biscoito doce, doces, balas, chocolates"
"1362","NORDESTE",21,"MA",552,"49%",210,"19%",152,"14%",61,"5%",36,"3%",24,"2%",18,"2%",71,"6%",1124,"2012","biscoito doce, doces, balas, chocolates"
"1363","NORDESTE",25,"PB",225,"25%",122,"13%",102,"11%",276,"30%",31,"3%",12,"1%",19,"2%",123,"14%",910,"2012","biscoito doce, doces, balas, chocolates"
"1364","NORDESTE",26,"PE",283,"39%",156,"21%",85,"12%",58,"8%",34,"5%",20,"3%",21,"3%",74,"10%",731,"2012","biscoito doce, doces, balas, chocolates"
"1365","NORDESTE",22,"PI",337,"47%",104,"14%",111,"15%",55,"8%",20,"3%",15,"2%",29,"4%",52,"7%",723,"2012","biscoito doce, doces, balas, chocolates"
"1366","NORDESTE",24,"RN",105,"46%",34,"15%",32,"14%",13,"6%",7,"3%",3,"1%",2,"1%",30,"13%",226,"2012","biscoito doce, doces, balas, chocolates"
"1367","NORDESTE",28,"SE",0,NA,0,NA,0,NA,1,"100%",0,NA,0,NA,0,NA,0,NA,1,"2012","biscoito doce, doces, balas, chocolates"
"1368","TOTAL REGI√O NORDESTE",NA,"",4936,"40%",2248,"18%",1673,"13%",1233,"10%",451,"4%",312,"3%",261,"2%",1299,"10%",12413,"2012","biscoito doce, doces, balas, chocolates"
"1369","NORTE",12,"AC",0,NA,0,NA,3,"100%",0,NA,0,NA,0,NA,0,NA,0,NA,3,"2012","biscoito doce, doces, balas, chocolates"
"1370","NORTE",13,"AM",110,"34%",61,"19%",50,"16%",30,"9%",17,"5%",9,"3%",7,"2%",37,"12%",321,"2012","biscoito doce, doces, balas, chocolates"
"1371","NORTE",16,"AP",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2012","biscoito doce, doces, balas, chocolates"
"1372","NORTE",15,"PA",1764,"42%",817,"19%",696,"17%",353,"8%",144,"3%",68,"2%",81,"2%",278,"7%",4201,"2012","biscoito doce, doces, balas, chocolates"
"1373","NORTE",11,"RO",0,NA,1,"50%",0,NA,0,NA,0,NA,1,"50%",0,NA,0,NA,2,"2012","biscoito doce, doces, balas, chocolates"
"1374","NORTE",14,"RR",7,"41%",2,"12%",3,"18%",4,"24%",0,NA,0,NA,0,NA,1,"6%",17,"2012","biscoito doce, doces, balas, chocolates"
"1375","NORTE",17,"TO",249,"38%",131,"20%",101,"15%",51,"8%",35,"5%",10,"2%",31,"5%",54,"8%",662,"2012","biscoito doce, doces, balas, chocolates"
"1376","TOTAL REGI√O NORTE",NA,"",2130,"41%",1012,"19%",853,"16%",438,"8%",196,"4%",88,"2%",119,"2%",370,"7%",5206,"2012","biscoito doce, doces, balas, chocolates"
"1377","SUDESTE",32,"ES",168,"46%",55,"15%",48,"13%",21,"6%",10,"3%",11,"3%",8,"2%",43,"12%",364,"2012","biscoito doce, doces, balas, chocolates"
"1378","SUDESTE",31,"MG",1815,"28%",1387,"22%",1037,"16%",710,"11%",347,"5%",265,"4%",199,"3%",659,"10%",6419,"2012","biscoito doce, doces, balas, chocolates"
"1379","SUDESTE",33,"RJ",597,"34%",327,"19%",240,"14%",167,"9%",76,"4%",64,"4%",44,"3%",245,"14%",1760,"2012","biscoito doce, doces, balas, chocolates"
"1380","SUDESTE",35,"SP",3019,"29%",2120,"21%",1633,"16%",996,"10%",457,"4%",277,"3%",192,"2%",1576,"15%",10270,"2012","biscoito doce, doces, balas, chocolates"
"1381","TOTAL REGI√O SUDESTE",NA,"",5599,"30%",3889,"21%",2958,"16%",1894,"10%",890,"5%",617,"3%",443,"2%",2523,"13%",18813,"2012","biscoito doce, doces, balas, chocolates"
"1382","SUL",41,"PR",684,"30%",410,"18%",337,"15%",247,"11%",114,"5%",61,"3%",53,"2%",339,"15%",2245,"2012","biscoito doce, doces, balas, chocolates"
"1383","SUL",43,"RS",230,"31%",140,"19%",112,"15%",67,"9%",29,"4%",21,"3%",17,"2%",117,"16%",733,"2012","biscoito doce, doces, balas, chocolates"
"1384","SUL",42,"SC",237,"25%",259,"27%",182,"19%",102,"11%",39,"4%",25,"3%",28,"3%",82,"9%",954,"2012","biscoito doce, doces, balas, chocolates"
"1385","TOTAL REGI√O SUL",NA,"",1151,"29%",809,"21%",631,"16%",416,"11%",182,"5%",107,"3%",98,"2%",538,"14%",3932,"2012","biscoito doce, doces, balas, chocolates"
"1386","TOTAL BRASIL",NA,"",17232,"35%",9634,"19%",7342,"15%",4825,"10%",2170,"4%",1405,"3%",1173,"2%",5752,"12%",49533,"2012","biscoito doce, doces, balas, chocolates"
"1387","CENTRO-OESTE",53,"DF",522,"30%",252,"14%",251,"14%",192,"11%",92,"5%",65,"4%",51,"3%",332,"19%",1757,"2012","biscoito salgado, salgadindo de pacote"
"1388","CENTRO-OESTE",52,"GO",419,"26%",258,"16%",229,"14%",199,"12%",118,"7%",88,"6%",54,"3%",232,"15%",1597,"2012","biscoito salgado, salgadindo de pacote"
"1389","CENTRO-OESTE",50,"MS",826,"32%",437,"17%",359,"14%",279,"11%",164,"6%",116,"5%",100,"4%",280,"11%",2561,"2012","biscoito salgado, salgadindo de pacote"
"1390","CENTRO-OESTE",51,"MT",1088,"33%",519,"16%",481,"15%",321,"10%",152,"5%",108,"3%",76,"2%",509,"16%",3254,"2012","biscoito salgado, salgadindo de pacote"
"1391","TOTAL REGI√O CENTRO-OESTE",NA,"",2855,"31%",1466,"16%",1320,"14%",991,"11%",526,"6%",377,"4%",281,"3%",1353,"15%",9169,"2012","biscoito salgado, salgadindo de pacote"
"1392","NORDESTE",27,"AL",437,"22%",208,"10%",256,"13%",252,"13%",164,"8%",97,"5%",81,"4%",502,"25%",1997,"2012","biscoito salgado, salgadindo de pacote"
"1393","NORDESTE",29,"BA",1136,"32%",525,"15%",553,"16%",341,"10%",165,"5%",111,"3%",80,"2%",636,"18%",3547,"2012","biscoito salgado, salgadindo de pacote"
"1394","NORDESTE",23,"CE",696,"22%",409,"13%",474,"15%",396,"13%",181,"6%",108,"3%",100,"3%",790,"25%",3154,"2012","biscoito salgado, salgadindo de pacote"
"1395","NORDESTE",21,"MA",265,"24%",179,"16%",223,"20%",128,"11%",68,"6%",39,"3%",36,"3%",186,"17%",1124,"2012","biscoito salgado, salgadindo de pacote"
"1396","NORDESTE",25,"PB",141,"15%",86,"9%",79,"9%",304,"33%",44,"5%",21,"2%",24,"3%",211,"23%",910,"2012","biscoito salgado, salgadindo de pacote"
"1397","NORDESTE",26,"PE",138,"19%",77,"11%",108,"15%",111,"15%",49,"7%",30,"4%",23,"3%",195,"27%",731,"2012","biscoito salgado, salgadindo de pacote"
"1398","NORDESTE",22,"PI",213,"29%",103,"14%",110,"15%",71,"10%",44,"6%",42,"6%",42,"6%",98,"14%",723,"2012","biscoito salgado, salgadindo de pacote"
"1399","NORDESTE",24,"RN",43,"19%",24,"11%",39,"17%",18,"8%",9,"4%",9,"4%",7,"3%",77,"34%",226,"2012","biscoito salgado, salgadindo de pacote"
"1400","NORDESTE",28,"SE",0,NA,0,NA,0,NA,0,NA,1,"100%",0,NA,0,NA,0,NA,1,"2012","biscoito salgado, salgadindo de pacote"
"1401","TOTAL REGI√O NORDESTE",NA,"",3069,"25%",1611,"13%",1842,"15%",1621,"13%",725,"6%",457,"4%",393,"3%",2695,"22%",12413,"2012","biscoito salgado, salgadindo de pacote"
"1402","NORTE",12,"AC",0,NA,1,"33%",0,NA,2,"67%",0,NA,0,NA,0,NA,0,NA,3,"2012","biscoito salgado, salgadindo de pacote"
"1403","NORTE",13,"AM",102,"32%",44,"14%",64,"20%",39,"12%",15,"5%",6,"2%",3,"1%",48,"15%",321,"2012","biscoito salgado, salgadindo de pacote"
"1404","NORTE",16,"AP",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2012","biscoito salgado, salgadindo de pacote"
"1405","NORTE",15,"PA",1113,"26%",636,"15%",700,"17%",491,"12%",178,"4%",129,"3%",118,"3%",836,"20%",4201,"2012","biscoito salgado, salgadindo de pacote"
"1406","NORTE",11,"RO",2,"100%",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,"2012","biscoito salgado, salgadindo de pacote"
"1407","NORTE",14,"RR",7,"41%",3,"18%",2,"12%",2,"12%",1,"6%",0,NA,1,"6%",1,"6%",17,"2012","biscoito salgado, salgadindo de pacote"
"1408","NORTE",17,"TO",192,"29%",119,"18%",101,"15%",65,"10%",33,"5%",38,"6%",27,"4%",87,"13%",662,"2012","biscoito salgado, salgadindo de pacote"
"1409","TOTAL REGI√O NORTE",NA,"",1416,"27%",803,"15%",867,"17%",599,"12%",227,"4%",173,"3%",149,"3%",972,"19%",5206,"2012","biscoito salgado, salgadindo de pacote"
"1410","SUDESTE",32,"ES",113,"31%",45,"12%",50,"14%",40,"11%",16,"4%",8,"2%",11,"3%",81,"22%",364,"2012","biscoito salgado, salgadindo de pacote"
"1411","SUDESTE",31,"MG",1699,"26%",1149,"18%",1002,"16%",751,"12%",435,"7%",273,"4%",206,"3%",904,"14%",6419,"2012","biscoito salgado, salgadindo de pacote"
"1412","SUDESTE",33,"RJ",561,"32%",291,"17%",216,"12%",190,"11%",88,"5%",49,"3%",53,"3%",312,"18%",1760,"2012","biscoito salgado, salgadindo de pacote"
"1413","SUDESTE",35,"SP",2898,"28%",1891,"18%",1549,"15%",1020,"10%",514,"5%",289,"3%",226,"2%",1883,"18%",10270,"2012","biscoito salgado, salgadindo de pacote"
"1414","TOTAL REGI√O SUDESTE",NA,"",5271,"28%",3376,"18%",2817,"15%",2001,"11%",1053,"6%",619,"3%",496,"3%",3180,"17%",18813,"2012","biscoito salgado, salgadindo de pacote"
"1415","SUL",41,"PR",738,"33%",368,"16%",359,"16%",225,"10%",105,"5%",70,"3%",51,"2%",329,"15%",2245,"2012","biscoito salgado, salgadindo de pacote"
"1416","SUL",43,"RS",226,"31%",83,"11%",92,"13%",75,"10%",39,"5%",25,"3%",22,"3%",171,"23%",733,"2012","biscoito salgado, salgadindo de pacote"
"1417","SUL",42,"SC",222,"23%",224,"23%",223,"23%",115,"12%",44,"5%",11,"1%",23,"2%",92,"10%",954,"2012","biscoito salgado, salgadindo de pacote"
"1418","TOTAL REGI√O SUL",NA,"",1186,"30%",675,"17%",674,"17%",415,"11%",188,"5%",106,"3%",96,"2%",592,"15%",3932,"2012","biscoito salgado, salgadindo de pacote"
"1419","TOTAL BRASIL",NA,"",13797,"28%",7931,"16%",7520,"15%",5627,"11%",2719,"5%",1732,"3%",1415,"3%",8792,"18%",49533,"2012","biscoito salgado, salgadindo de pacote"
"1420","CENTRO-OESTE",53,"DF",142,"8%",70,"4%",88,"5%",107,"6%",71,"4%",46,"3%",37,"2%",1196,"68%",1757,"2012","feij√£o"
"1421","CENTRO-OESTE",52,"GO",85,"5%",46,"3%",58,"4%",68,"4%",43,"3%",45,"3%",80,"5%",1172,"73%",1597,"2012","feij√£o"
"1422","CENTRO-OESTE",50,"MS",210,"8%",115,"4%",125,"5%",142,"6%",113,"4%",137,"5%",138,"5%",1581,"62%",2561,"2012","feij√£o"
"1423","CENTRO-OESTE",51,"MT",336,"10%",125,"4%",142,"4%",115,"4%",81,"2%",75,"2%",86,"3%",2294,"70%",3254,"2012","feij√£o"
"1424","TOTAL REGI√O CENTRO-OESTE",NA,"",773,"8%",356,"4%",413,"5%",432,"5%",308,"3%",303,"3%",341,"4%",6243,"68%",9169,"2012","feij√£o"
"1425","NORDESTE",27,"AL",42,"2%",42,"2%",68,"3%",87,"4%",78,"4%",107,"5%",59,"3%",1514,"76%",1997,"2012","feij√£o"
"1426","NORDESTE",29,"BA",206,"6%",125,"4%",133,"4%",163,"5%",117,"3%",114,"3%",141,"4%",2548,"72%",3547,"2012","feij√£o"
"1427","NORDESTE",23,"CE",172,"5%",106,"3%",143,"5%",174,"6%",110,"3%",105,"3%",100,"3%",2244,"71%",3154,"2012","feij√£o"
"1428","NORDESTE",21,"MA",70,"6%",44,"4%",98,"9%",138,"12%",72,"6%",55,"5%",46,"4%",601,"53%",1124,"2012","feij√£o"
"1429","NORDESTE",25,"PB",21,"2%",21,"2%",29,"3%",24,"3%",12,"1%",17,"2%",22,"2%",764,"84%",910,"2012","feij√£o"
"1430","NORDESTE",26,"PE",26,"4%",14,"2%",25,"3%",66,"9%",65,"9%",24,"3%",18,"2%",493,"67%",731,"2012","feij√£o"
"1431","NORDESTE",22,"PI",34,"5%",16,"2%",25,"3%",35,"5%",18,"2%",16,"2%",15,"2%",564,"78%",723,"2012","feij√£o"
"1432","NORDESTE",24,"RN",6,"3%",12,"5%",11,"5%",12,"5%",7,"3%",6,"3%",2,"1%",170,"75%",226,"2012","feij√£o"
"1433","NORDESTE",28,"SE",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,"100%",1,"2012","feij√£o"
"1434","TOTAL REGI√O NORDESTE",NA,"",577,"5%",380,"3%",532,"4%",699,"6%",479,"4%",444,"4%",403,"3%",8899,"72%",12413,"2012","feij√£o"
"1435","NORTE",12,"AC",0,NA,0,NA,3,"100%",0,NA,0,NA,0,NA,0,NA,0,NA,3,"2012","feij√£o"
"1436","NORTE",13,"AM",61,"19%",71,"22%",73,"23%",49,"15%",15,"5%",6,"2%",10,"3%",36,"11%",321,"2012","feij√£o"
"1437","NORTE",16,"AP",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2012","feij√£o"
"1438","NORTE",15,"PA",683,"16%",698,"17%",583,"14%",418,"10%",220,"5%",187,"4%",257,"6%",1155,"27%",4201,"2012","feij√£o"
"1439","NORTE",11,"RO",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,"100%",2,"2012","feij√£o"
"1440","NORTE",14,"RR",0,NA,0,NA,1,"6%",1,"6%",2,"12%",1,"6%",0,NA,12,"71%",17,"2012","feij√£o"
"1441","NORTE",17,"TO",33,"5%",25,"4%",38,"6%",59,"9%",54,"8%",38,"6%",57,"9%",358,"54%",662,"2012","feij√£o"
"1442","TOTAL REGI√O NORTE",NA,"",777,"15%",794,"15%",698,"13%",527,"10%",291,"6%",232,"4%",324,"6%",1563,"30%",5206,"2012","feij√£o"
"1443","SUDESTE",32,"ES",21,"6%",11,"3%",8,"2%",14,"4%",3,"1%",7,"2%",6,"2%",294,"81%",364,"2012","feij√£o"
"1444","SUDESTE",31,"MG",255,"4%",136,"2%",160,"2%",206,"3%",138,"2%",177,"3%",289,"5%",5058,"79%",6419,"2012","feij√£o"
"1445","SUDESTE",33,"RJ",127,"7%",80,"5%",87,"5%",91,"5%",75,"4%",49,"3%",48,"3%",1203,"68%",1760,"2012","feij√£o"
"1446","SUDESTE",35,"SP",873,"9%",312,"3%",425,"4%",444,"4%",311,"3%",299,"3%",409,"4%",7197,"70%",10270,"2012","feij√£o"
"1447","TOTAL REGI√O SUDESTE",NA,"",1276,"7%",539,"3%",680,"4%",755,"4%",527,"3%",532,"3%",752,"4%",13752,"73%",18813,"2012","feij√£o"
"1448","SUL",41,"PR",190,"8%",66,"3%",115,"5%",127,"6%",72,"3%",95,"4%",108,"5%",1472,"66%",2245,"2012","feij√£o"
"1449","SUL",43,"RS",53,"7%",60,"8%",74,"10%",65,"9%",44,"6%",48,"7%",45,"6%",344,"47%",733,"2012","feij√£o"
"1450","SUL",42,"SC",63,"7%",127,"13%",128,"13%",119,"12%",86,"9%",69,"7%",61,"6%",301,"32%",954,"2012","feij√£o"
"1451","TOTAL REGI√O SUL",NA,"",306,"8%",253,"6%",317,"8%",311,"8%",202,"5%",212,"5%",214,"5%",2117,"54%",3932,"2012","feij√£o"
"1452","TOTAL BRASIL",NA,"",3709,"7%",2322,"5%",2640,"5%",2724,"5%",1807,"4%",1723,"3%",2034,"4%",32574,"66%",49533,"2012","feij√£o"
"1453","CENTRO-OESTE",53,"DF",122,"7%",95,"5%",128,"7%",172,"10%",83,"5%",79,"4%",56,"3%",1022,"58%",1757,"2012","frutas frescas"
